Species,UTMCODE,Status,AREA_MN,ED,LPI,NP,Year,CA,RegSect
P_alchata,XM1070,Persistence,794.7916666666666,8.689492325855962,41.26328217237308,6,2005,45.628516,Ebro valley
P_alchata,XM2070,Persistence,2435.9375,5.640117994100295,91.68141592920354,4,2005,93.135,Ebro valley
P_alchata,WM8060,Colonization,6.25,0.117994100294985,0.058997050147493,2,2005,0.0619841640625,Ebro valley
P_alchata,WM9060,Persistence,314.1666666666667,13.2309509746013,39.22031896042528,15,2005,45.669952,Ebro valley
P_alchata,XM2060,Persistence,9762.5,6.364172068355923,92.0447849145551,1,2005,93.180584,Ebro valley
P_alchata,XM2050,Extinction,1885.4166666666667,7.802003535651149,53.21154979375369,3,2005,54.214616,Ebro valley
P_alchata,XM3050,Extinction,778.125,9.121979964643488,57.159693576900416,8,2005,59.09974,Ebro valley
P_alchata,XM8050,Extinction,1729.6875,8.63716814159292,64.71976401179941,4,2005,65.648172,Ebro valley
P_alchata,XM9050,Extinction,1171.25,6.60377358490566,34.08018867924528,5,2005,55.114136,Ebro valley
P_alchata,UM3040,Extinction,16.666666666666668,1.027479091995221,0.29868578255675,6,2005,0.9657799375,Northern plateau
P_alchata,XM2040,Persistence,651.5625,3.445427728613569,23.12684365781711,4,2005,24.378724,Ebro valley
P_alchata,XM5040,Persistence,543.75,4.628099173553719,69.3624557260921,14,2005,72.754696,Ebro valley
P_alchata,YM2040,Colonization,286.25,6.595995288574794,24.02826855123675,10,2005,27.193566,Ebro valley
P_alchata,YM3040,Extinction,171.3235294117647,9.98234255444379,14.420247204237787,17,2005,26.920626,Ebro valley
P_alchata,YM4040,Persistence,2164.5833333333335,7.957133288680509,69.18955123911587,3,2005,62.246568,Ebro valley
P_alchata,XM2030,Extinction,500.625,10.308788598574822,40.736342042755346,10,2005,47.408636,Ebro valley
P_alchata,XM3030,Persistence,597.2222222222222,10.070921985815604,49.46808510638298,9,2005,52.318436,Ebro valley
P_alchata,XM7030,Persistence,9743.75,1.956393635827932,91.86800235710076,1,2005,93.052008,Ebro valley
P_alchata,YM4030,Persistence,815.625,13.066494512588767,48.224661071659135,6,2005,47.441672,Ebro valley
P_alchata,BG7020,Persistence,95.53571428571429,3.080513418903151,3.67561260210035,7,2005,5.920504,Ebro valley
P_alchata,BG5020,Persistence,119.23076923076923,11.083743842364532,10.714285714285714,26,2005,28.686262,Ebro valley
P_alchata,XM3020,Persistence,4859.375,4.018912529550827,91.78486997635935,2,2005,93.281648,Ebro valley
P_alchata,XM4020,Extinction,8075,2.802850356294537,76.72209026128266,1,2005,77.906184,Ebro valley
P_alchata,YM2020,Persistence,675,7.5,43.39622641509434,7,2005,44.84406,Ebro valley
P_alchata,YM3020,Extinction,276.25,7.896287566293459,19.092516205067767,10,2005,26.240796,Ebro valley
P_alchata,BG7010,Extinction,28.94736842105263,4.436619718309859,1.291079812206573,19,2005,5.3071425,Ebro valley
P_alchata,BG6010,Persistence,811.25,6.670581327069876,36.81738109219025,5,2005,38.104188,Ebro valley
P_alchata,BG5010,Extinction,1473.9583333333333,6.221692491060787,76.93682955899881,6,2005,84.538512,Ebro valley
P_alchata,XM3010,Persistence,4981.25,3.3926453143535,93.77224199288257,2,2005,95.59012,Ebro valley
P_alchata,XM4010,Persistence,2589.5833333333335,7.631423508564678,51.269935026580036,3,2005,73.748584,Ebro valley
P_alchata,XM5010,Extinction,135.2941176470588,10.4070796460177,12.15339233038348,17,2005,21.490464,Ebro valley
P_alchata,XM9010,Extinction,10512.5,0.731132075471698,99.1745283018868,1,2005,100.382176,Ebro valley
P_alchata,YM0010,Extinction,10587.5,0.235432607416127,99.70570924072985,1,2005,100.81088,Ebro valley
P_alchata,YM3010,Extinction,4515.625,7.94811320754717,84.66981132075472,2,2005,86.254064,Ebro valley
P_alchata,BG6000,Extinction,5056.25,2.476635514018692,94.33411214953271,2,2005,96.336264,Ebro valley
P_alchata,BG5000,Persistence,8737.5,5.964912280701754,81.75438596491227,1,2005,82.9304,Ebro valley
P_alchata,XM2000,Colonization,1868.75,10.265486725663717,70.26548672566372,4,2005,71.469936,Ebro valley
P_alchata,XM3000,Persistence,1142.7083333333333,10.655640874187831,63.31955109273479,6,2005,66.411796,Ebro valley
P_alchata,XM4000,Persistence,495.8333333333333,10.276959340011786,26.753093694755453,9,2005,41.387092,Ebro valley
P_alchata,XM5000,Persistence,1641.25,12.256923983500295,76.84148497348262,5,2005,78.512616,Ebro valley
P_alchata,YM1000,Persistence,10250,1.693121693121693,96.41387419165197,1,2005,97.39508,Ebro valley
P_alchata,YM2000,Extinction,4609.375,3.861094761624485,86.69805768098881,2,2005,87.951976,Ebro valley
P_alchata,XL4090,Persistence,2846.875,9.334119033588687,49.911608721272835,2,2005,54.307272,Ebro valley
P_alchata,XL5090,Extinction,4584.375,7.161366313309776,86.33686690223793,2,2005,87.652608,Ebro valley
P_alchata,XL8090,Persistence,5087.5,2.101534828807556,95.92680047225501,2,2005,97.175664,Ebro valley
P_alchata,XL9090,Persistence,8106.25,7.587433313574392,76.88203912270303,1,2005,78.024936,Ebro valley
P_alchata,YL1090,Persistence,1989.0625,3.674911660777385,73.08598351001177,4,2005,75.966792,Ebro valley
P_alchata,UL0080,Colonization,1245.8333333333333,11.909307875894989,69.68973747016707,6,2005,71.390032,Northern plateau
P_alchata,UL2080,Colonization,2029.6875,9.828300769686205,75.13321492007104,4,2005,78.26432,Northern plateau
P_alchata,UL3080,Extinction,451.1363636363636,15.672791938352104,43.74629519857736,11,2005,46.935816,Northern plateau
P_alchata,XL5080,Extinction,739.5833333333334,10.671378091872791,57.65606595995288,9,2005,63.223492,Ebro valley
P_alchata,XL8080,Persistence,5078.125,2.330782813419658,95.58563861094763,2,2005,97.06148,Ebro valley
P_alchata,XL9080,Persistence,10162.5,2.897526501766785,95.75971731448763,1,2005,97.166064,Ebro valley
P_alchata,YL0080,Colonization,1313.75,5.845609899823217,56.8650559811432,5,2005,61.904248,Ebro valley
P_alchata,YL1080,Persistence,3490.625,6.362017804154303,64.68842729970326,2,2005,66.672928,Ebro valley
P_alchata,YL2080,Persistence,2167.1875,5.54245283018868,81.48584905660378,4,2005,82.695736,Ebro valley
