"site_id","utm_zone","epsg","cell_e0","cell_n0","x_centroid","y_centroid","lon_centroid","lat_centroid"
"UTM29N_E830000_N4570000","29N",32629,830000,4570000,835000,4575000,-5.00157520220475,41.2569812066112
"UTM29N_E820000_N4560000","29N",32629,820000,4560000,825000,4565000,-5.12597939650043,41.1711893409183
"UTM29N_E820000_N4570000","29N",32629,820000,4570000,825000,4575000,-5.1206650685017,41.2610617863087
"UTM29N_E840000_N4560000","29N",32629,840000,4560000,845000,4565000,-4.88814859281529,41.162931364925
"UTM29N_E1170000_N4200000","29N",32629,1170000,4200000,1175000,4205000,-1.34422301096222,37.7430103461572
"UTM29N_E1190000_N4300000","29N",32629,1190000,4300000,1195000,4305000,-1.02197892087086,38.6207222810976
"UTM29N_E730000_N4220000","29N",32629,730000,4220000,735000,4225000,-6.31842546511908,38.1422861980453
"UTM29N_E730000_N4230000","29N",32629,730000,4230000,735000,4235000,-6.31512057231885,38.2323132528495
"UTM29N_E960000_N4120000","29N",32629,960000,4120000,965000,4125000,-3.76515837613531,37.1557410566786
"UTM29N_E650000_N4240000","29N",32629,650000,4240000,655000,4245000,-7.22642248628642,38.3397454885074
"UTM29N_E950000_N4120000","29N",32629,950000,4120000,955000,4125000,-3.87732091269561,37.160655711983
"UTM29N_E760000_N4360000","29N",32629,760000,4360000,765000,4365000,-5.92282015983419,39.3938258558421
"UTM29N_E780000_N4640000","29N",32629,780000,4640000,785000,4645000,-5.56400581785948,41.9055415214015
"UTM29N_E860000_N4270000","29N",32629,860000,4270000,865000,4275000,-4.81214556681587,38.5485350249312
"UTM29N_E690000_N4370000","29N",32629,690000,4370000,695000,4375000,-6.73203700811093,39.5025210101483
"UTM29N_E730000_N4370000","29N",32629,730000,4370000,735000,4375000,-6.26726794143305,39.4925200023158
"UTM29N_E1160000_N4200000","29N",32629,1160000,4200000,1165000,4205000,-1.45673269890314,37.7503075416831
"UTM29N_E680000_N4320000","29N",32629,680000,4320000,685000,4325000,-6.86200000520436,39.0545014336204
"UTM29N_E8e+05_N4700000","29N",32629,8e+05,4700000,805000,4705000,-5.29194360542173,42.4373392333745
"UTM29N_E1070000_N4620000","29N",32629,1070000,4620000,1075000,4625000,-2.10530751343081,41.5695446697928
"UTM29N_E820000_N4290000","29N",32629,820000,4290000,825000,4295000,-5.26078004702983,38.7439014611457
"UTM29N_E740000_N4250000","29N",32629,740000,4250000,745000,4255000,-6.19405760006401,38.4096772561052
"UTM29N_E1190000_N4210000","29N",32629,1190000,4210000,1195000,4215000,-1.10978454366218,37.8173756082768
"UTM29N_E1180000_N4310000","29N",32629,1180000,4310000,1185000,4315000,-1.12592479667322,38.7177427000354
"UTM29N_E1120000_N4670000","29N",32629,1120000,4670000,1125000,4675000,-1.45810683811007,41.9786204571008
"UTM29N_E1120000_N4680000","29N",32629,1120000,4680000,1125000,4685000,-1.44748604814694,42.0679049277039
"UTM29N_E820000_N4300000","29N",32629,820000,4300000,825000,4305000,-5.25607297345016,38.8338257427015
"UTM29N_E830000_N4270000","29N",32629,830000,4270000,835000,4275000,-5.15560221183633,38.5603367459308
"UTM29N_E930000_N4410000","29N",32629,930000,4410000,935000,4415000,-3.92185543670001,39.7737804171012
"UTM29N_E750000_N4260000","29N",32629,750000,4260000,755000,4265000,-6.07603114520154,38.4968851005037
"UTM29N_E780000_N4250000","29N",32629,780000,4250000,785000,4255000,-5.73658415522234,38.3978218596292
"UTM29N_E1110000_N4700000","29N",32629,1110000,4700000,1115000,4705000,-1.54628028545328,42.2543818045847
"UTM29N_E760000_N4240000","29N",32629,760000,4240000,765000,4245000,-5.96904544032919,38.313975437389
"UTM29N_E830000_N4530000","29N",32629,830000,4530000,835000,4535000,-5.02333303844808,40.8975306509746
"UTM29N_E850000_N4570000","29N",32629,850000,4570000,855000,4575000,-4.76347077529906,41.2484516744275
"UTM29N_E810000_N4610000","29N",32629,810000,4610000,815000,4615000,-5.21893548021396,41.6245395237054
"UTM29N_E750000_N4240000","29N",32629,750000,4240000,755000,4245000,-6.08328137394823,38.3168742967378
"UTM29N_E810000_N4310000","29N",32629,810000,4310000,815000,4315000,-5.36646860200332,38.9273932094144
"UTM29N_E930000_N4610000","29N",32629,930000,4610000,935000,4615000,-3.78348210030515,41.5682514766152
"UTM29N_E920000_N4610000","29N",32629,920000,4610000,925000,4615000,-3.90294047512442,41.5736235552235
"UTM29N_E1080000_N4610000","29N",32629,1080000,4610000,1085000,4615000,-1.9959498255298,41.4729090461266
"UTM29N_E1280000_N4620000","29N",32629,1280000,4620000,1285000,4625000,0.384617464330047,41.3921183744204
"UTM29N_E770000_N4240000","29N",32629,770000,4240000,775000,4245000,-5.85482623050192,38.3109655303381
"UTM29N_E810000_N4530000","29N",32629,810000,4530000,815000,4535000,-5.26024831498175,40.9054684029746
"UTM29N_E850000_N4650000","29N",32629,850000,4650000,855000,4655000,-4.71610978088336,41.9670393835121
"UTM29N_E730000_N4380000","29N",32629,730000,4380000,735000,4385000,-6.26373376629459,39.5825223884833
"UTM29N_E670000_N4280000","29N",32629,670000,4280000,675000,4285000,-6.98768734636991,38.6963244558176
"UTM29N_E940000_N4610000","29N",32629,940000,4610000,945000,4615000,-3.66405651479944,41.5627558976574
"UTM29N_E1060000_N4390000","29N",32629,1060000,4390000,1065000,4395000,-2.429620397675,39.5186628560862
"UTM29N_E1140000_N4320000","29N",32629,1140000,4320000,1145000,4325000,-1.5727142231676,38.8371122613834
"UTM29N_E1150000_N4310000","29N",32629,1150000,4310000,1155000,4315000,-1.46794336459995,38.7404151346975
"UTM29N_E1160000_N4630000","29N",32629,1160000,4630000,1165000,4635000,-1.02445879191659,41.5892363110924
"UTM29N_E810000_N4600000","29N",32629,810000,4600000,815000,4605000,-5.2241818955255,41.5346624339518
"UTM29N_E1020000_N4280000","29N",32629,1020000,4280000,1025000,4285000,-2.97683700699906,38.5583145306561
"UTM29N_E960000_N4400000","29N",32629,960000,4400000,965000,4405000,-3.58011464075147,39.6682536571807
"UTM29N_E1130000_N4310000","29N",32629,1130000,4310000,1135000,4315000,-1.69616606953169,38.7549796232541
"UTM29N_E670000_N4380000","29N",32629,670000,4380000,675000,4385000,-6.96186880056123,39.5968732315748
"UTM29N_E740000_N4270000","29N",32629,740000,4270000,745000,4275000,-6.18705927883989,38.589702684972
"UTM29N_E970000_N4280000","29N",32629,970000,4280000,975000,4285000,-3.54793679814809,38.5864025770078
"UTM29N_E650000_N4360000","29N",32629,650000,4360000,655000,4365000,-7.19933955775842,39.4206033198333
"UTM29N_E750000_N4380000","29N",32629,750000,4380000,755000,4385000,-6.03114206014914,39.5768082108679
"UTM29N_E980000_N4270000","29N",32629,980000,4270000,985000,4275000,-3.44058334853866,38.4913113661545
"UTM29N_E990000_N4280000","29N",32629,990000,4280000,995000,4285000,-3.31940169673317,38.575499728138
"UTM29N_E990000_N4270000","29N",32629,990000,4270000,995000,4275000,-3.32647163574871,38.4858220327819
"UTM29N_E720000_N4240000","29N",32629,720000,4240000,725000,4245000,-6.42608325234435,38.3249041116479
"UTM29N_E740000_N4570000","29N",32629,740000,4570000,745000,4575000,-6.07419091608829,41.2892767983564
"UTM29N_E810000_N4570000","29N",32629,810000,4570000,815000,4575000,-5.23977906154431,41.2650194775847
"UTM29N_E1020000_N4290000","29N",32629,1020000,4290000,1025000,4295000,-2.96931345296431,38.6479348695699
"UTM29N_E1070000_N4390000","29N",32629,1070000,4390000,1075000,4395000,-2.31406675345625,39.5120450889071
"UTM29N_E1050000_N4630000","29N",32629,1050000,4630000,1055000,4635000,-2.33428831259213,41.6731126092787
"UTM29N_E1170000_N4340000","29N",32629,1170000,4340000,1175000,4345000,-1.21053988596464,38.9932660561437
"UTM29N_E870000_N4550000","29N",32629,870000,4550000,875000,4555000,-4.53769100061644,41.0598201911919
"UTM29N_E990000_N4300000","29N",32629,990000,4300000,995000,4305000,-3.30516709814186,38.7548476774673
